distance_km,weight_kg,priority_encoded,hour_of_day,day_of_week,traffic_factor,weather_score,driver_experience_days,is_rush_hour,zone_density,is_delayed,delay_minutes
6.97,0.5,2,16,0,0.81,0.56,174,0,0.15,0,0
19.2,4.4,0,22,0,0.61,0.82,362,0,0.98,1,25.0
7.3,10.3,1,11,1,0.62,0.06,183,0,0.98,0,0
21.25,7.7,1,16,2,0.75,0.42,730,0,0.18,0,0
8.43,11.3,1,5,6,1.02,0.43,87,0,0.11,0,0
3.84,2.0,2,19,0,1.56,0.67,95,1,0.43,0,0
24.41,6.8,2,8,5,1.39,0.89,182,1,0.82,1,35.0
9.16,2.7,2,11,4,0.98,0.35,32,0,0.13,1,10.0
5.39,13.6,1,16,2,0.86,0.17,732,0,0.47,0,0
19.05,5.4,2,9,3,1.37,0.11,24,1,0.41,1,56.7
16.52,5.4,1,13,4,0.93,1.0,175,0,0.44,0,0
21.31,2.3,1,21,5,0.98,0.31,21,0,0.11,1,57.3
8.87,10.4,1,20,4,1.92,0.63,91,1,0.24,1,18.7
19.2,5.4,0,13,2,0.77,0.39,33,0,0.99,1,31.9
28.53,2.4,0,13,1,0.91,0.7,361,0,0.23,1,34.0
23.49,11.3,0,20,0,2.09,0.33,728,1,0.31,1,39.1
9.16,12.4,1,11,2,0.85,0.06,373,0,0.41,1,15.6
19.2,13.0,0,8,1,1.06,0.83,723,1,0.87,1,20.9
23.56,2.3,0,7,5,0.82,0.96,728,0,0.44,1,11.2
7.56,12.6,0,2,5,0.68,0.09,95,0,0.3,0,0
2.37,8.8,0,19,2,1.32,0.26,88,1,0.72,1,19.9
25.63,11.9,0,16,1,0.78,0.62,370,0,0.19,1,29.7
20.14,13.9,1,10,6,1.43,0.31,173,1,0.9,1,51.8
22.65,2.2,1,15,1,0.78,0.31,735,0,0.1,1,24.7
6.45,10.6,1,0,4,0.74,0.85,179,0,0.74,1,5.7
19.68,12.8,1,17,4,1.47,0.04,39,1,0.95,1,44.0
8.8,11.0,1,6,1,1.08,0.31,81,0,0.77,1,26.9
12.87,11.6,1,23,3,0.7,0.54,362,0,0.35,0,0
19.8,2.0,1,18,6,2.04,0.64,171,1,0.55,1,36.9
16.05,4.8,0,18,5,1.18,0.5,94,1,0.74,1,33.0
7.34,7.7,1,14,3,0.99,0.06,97,0,0.83,1,20.7
5.06,7.3,1,16,1,1.04,0.82,359,0,0.91,0,0
25.34,12.8,1,14,5,0.8,0.62,722,0,0.13,1,19.5
10.86,14.2,1,8,3,1.86,0.4,21,1,0.65,1,41.7
19.04,9.5,1,18,1,1.44,0.78,368,1,0.94,1,41.7
10.31,13.0,2,7,3,0.78,0.24,39,0,0.75,1,36.0
10.55,11.6,1,9,5,1.04,0.05,373,1,0.46,1,35.5
7.34,8.7,0,8,4,1.66,0.43,180,1,0.5,0,0
19.05,8.8,1,1,1,0.48,0.51,723,0,0.33,1,12.9
28.39,10.3,0,22,5,0.73,0.63,365,0,0.57,1,45.1
26.16,5.3,0,9,2,1.73,0.54,189,1,0.4,1,42.0
15.04,9.1,1,13,4,0.98,0.77,725,0,0.55,0,0
16.41,11.4,0,5,6,1.03,0.11,20,0,0.65,1,19.9
8.48,2.5,1,8,3,1.7,0.16,361,1,0.89,0,0
3.56,13.3,1,10,1,1.85,0.9,176,1,0.26,1,27.0
10.31,14.9,2,14,6,0.76,0.07,173,0,0.85,1,23.5
9.17,14.5,0,19,6,2.01,0.06,367,1,0.54,1,34.3
13.65,11.9,2,9,6,1.63,0.97,175,1,0.13,0,0
11.82,3.8,1,1,0,0.79,0.37,369,0,0.9,0,0
4.73,11.6,1,19,0,1.18,0.2,37,1,0.28,1,26.4
13.35,9.7,0,7,5,0.72,0.39,22,0,0.31,1,20.2
26.62,10.4,1,15,6,0.7,0.43,97,0,0.86,1,13.6
25.34,3.1,1,19,2,1.78,0.08,29,1,0.25,1,43.3
22.65,11.1,0,8,6,1.33,0.69,739,1,0.82,1,28.7
2.96,2.9,0,10,4,1.99,0.18,372,1,0.61,0,0
13.65,3.7,1,16,3,0.98,0.48,82,0,0.45,1,35.3
18.84,9.9,0,18,5,1.72,0.96,40,1,0.4,1,58.0
21.92,3.3,0,14,0,0.86,0.05,187,0,0.98,1,37.3
14.18,3.2,1,17,5,1.91,0.5,368,1,0.44,1,28.5
33.07,11.7,0,7,3,0.73,0.28,732,0,0.28,1,44.6
7.51,13.3,2,16,2,0.42,0.44,736,0,0.45,0,0
2.96,5.5,0,5,1,0.77,0.83,96,0,0.13,0,0
14.39,7.8,0,17,1,1.11,0.14,80,1,0.1,0,0
6.73,3.8,2,14,1,0.76,0.59,363,0,0.99,0,0
19.68,6.7,2,16,5,0.54,0.39,81,0,0.22,1,22.0
4.73,11.4,2,10,2,1.52,0.18,92,1,0.42,0,0
6.45,9.8,0,16,0,0.6,0.95,359,0,0.74,0,0
14.39,6.8,1,10,2,1.51,0.54,356,1,0.26,1,36.0
9.17,15.0,2,8,4,1.44,0.43,80,1,0.33,1,15.0
7.51,1.9,2,14,2,0.81,0.42,733,0,0.16,0,0
7.3,9.4,1,12,0,0.6,0.72,737,0,0.42,0,0
23.49,3.3,0,8,3,1.14,0.75,374,1,0.32,1,42.1
16.08,10.8,0,9,0,1.14,0.39,370,1,0.57,1,17.2
11.82,3.3,0,8,6,1.38,0.33,731,1,0.54,0,0
23.49,6.0,0,18,4,1.7,0.71,90,1,0.12,1,41.9
16.52,6.8,2,9,0,0.91,0.16,720,1,0.2,0,0
23.72,8.2,1,20,6,1.28,0.01,37,1,0.56,1,36.8
12.66,7.9,1,13,0,0.53,0.09,189,0,0.82,0,0
18.11,14.7,2,20,4,2.36,0.91,97,1,0.29,1,65.7
19.05,8.4,2,19,4,2.19,0.3,371,1,0.28,1,11.5
24.41,13.3,0,5,4,0.84,0.48,85,0,0.82,1,28.8
21.92,4.3,1,10,0,1.52,0.97,93,1,0.54,1,42.5
12.56,2.5,1,3,6,0.7,0.01,185,0,0.39,0,0
19.05,7.5,1,11,5,0.87,0.65,91,0,0.25,1,15.3
7.13,15.0,0,8,6,1.36,0.76,88,1,0.63,1,32.3
16.41,13.7,0,20,2,1.41,0.18,361,1,0.19,0,0
5.03,10.2,0,17,1,1.58,0.09,82,1,0.85,1,33.9
7.51,1.9,0,6,4,0.87,0.5,93,0,0.35,0,0
15.28,0.7,2,12,4,0.91,0.94,179,0,0.97,0,0
18.11,11.0,0,13,0,0.85,0.62,25,0,0.26,1,46.0
11.82,3.7,1,18,1,1.71,0.28,190,1,0.36,1,26.1
5.56,8.4,1,5,2,0.8,0.92,181,0,0.79,0,0
9.16,4.1,1,7,6,0.98,0.17,95,0,0.22,0,0
6.73,8.4,1,18,5,1.66,0.3,85,1,0.64,1,17.5
25.63,11.0,1,10,0,1.31,0.66,181,1,0.33,1,23.6
13.75,3.6,1,20,5,1.26,0.65,371,1,0.72,1,23.8
6.73,13.9,0,13,6,0.76,0.52,183,0,0.27,0,0
9.17,4.8,0,14,0,1.0,0.06,371,0,0.14,0,0
35.18,7.5,1,22,2,0.98,0.42,372,0,0.58,1,38.4
13.22,10.3,2,21,5,0.93,0.91,37,0,0.41,1,41.2
2.37,1.6,2,17,4,0.94,0.16,370,1,0.29,0,0
15.98,2.2,0,15,5,0.98,0.33,721,0,0.43,0,0
16.28,2.8,1,8,0,1.98,0.49,724,1,0.29,1,16.6
36.1,1.1,2,9,2,1.32,0.32,180,1,0.66,1,57.6
2.37,1.6,1,3,0,1.09,0.76,34,0,0.72,1,30.1
9.16,14.1,2,12,2,1.18,0.4,726,0,0.26,0,0
15.28,2.8,1,11,3,0.8,0.02,172,0,0.5,0,0
7.3,9.1,1,5,2,0.93,0.3,97,0,0.51,0,0
6.97,11.8,0,7,5,0.81,0.09,178,0,0.25,0,0
28.39,3.9,1,10,3,1.36,0.3,90,1,0.42,1,60.2
9.96,9.2,2,15,1,0.79,0.5,98,0,0.45,0,0
19.05,7.8,1,10,4,1.25,0.18,720,1,0.3,1,25.7
20.5,11.1,0,23,6,0.86,0.92,734,0,0.32,0,0
9.16,8.9,1,19,3,2.01,0.87,367,1,0.32,1,38.5
19.2,0.7,0,15,6,0.75,0.69,32,0,0.87,1,31.0
5.03,11.4,1,6,3,0.69,0.37,724,0,0.43,0,0
31.39,12.9,1,8,0,1.25,0.84,178,1,0.93,1,46.1
9.22,11.2,2,0,3,1.17,0.94,84,0,0.75,1,14.8
26.62,12.3,2,18,6,2.13,0.28,740,1,0.97,1,54.5
36.1,5.3,0,18,0,1.65,0.92,374,1,0.45,1,40.8
5.06,9.3,2,7,0,0.7,0.39,355,0,0.92,0,0
25.34,6.5,2,10,1,1.65,0.67,372,1,0.45,1,23.5
25.63,10.4,1,8,5,0.92,1.0,171,1,0.31,1,52.4
10.31,2.3,1,15,4,0.64,0.47,357,0,0.8,0,0
12.67,0.9,1,14,4,1.06,0.32,736,0,0.9,0,0
7.56,7.0,2,20,6,1.72,0.76,370,1,0.69,0,0
5.77,14.9,2,17,4,1.75,0.67,28,1,0.15,1,19.4
14.39,14.7,1,10,5,1.81,0.89,359,1,0.26,0,0
38.67,14.6,2,20,3,1.97,0.96,360,1,0.54,1,58.7
8.48,5.7,1,12,3,0.58,0.05,731,0,0.48,0,0
23.49,7.1,0,6,6,0.93,0.36,362,0,0.93,1,30.5
16.05,8.4,1,8,0,1.32,0.45,369,1,0.7,1,23.2
8.43,8.8,1,8,5,1.03,0.45,28,1,0.58,1,20.6
6.45,1.6,0,13,0,0.84,0.86,740,0,0.97,0,0
7.13,7.7,1,9,4,1.7,0.32,83,1,0.85,1,24.4
12.56,9.8,1,10,2,1.13,0.42,360,1,0.52,1,1.5
28.53,6.5,1,13,3,0.74,0.77,81,0,0.27,1,24.7
23.33,1.4,1,15,0,0.95,0.52,358,0,0.78,1,9.5
15.28,4.3,1,6,5,0.74,0.43,355,0,0.24,0,0
17.07,9.3,0,23,2,0.93,0.54,22,0,0.2,1,36.0
23.72,14.5,0,9,6,1.63,0.44,85,1,0.13,1,46.4
9.22,13.4,0,19,2,1.57,0.55,179,1,0.37,1,18.0
16.41,11.1,1,18,2,1.57,0.35,39,1,0.76,1,46.6
23.33,2.5,1,19,3,1.47,0.65,362,1,0.51,1,38.1
21.31,4.7,1,10,3,1.3,0.81,366,1,0.42,1,25.8
8.87,9.4,2,11,0,0.73,0.73,28,0,0.61,0,0
15.98,3.7,1,14,2,0.5,0.77,35,0,0.84,0,0
4.73,10.0,1,15,5,0.6,0.42,368,0,0.73,0,0
8.8,4.5,0,6,2,0.63,0.91,38,0,0.82,1,20.5
18.84,3.8,0,9,3,1.63,0.28,360,1,0.87,1,33.2
13.75,14.5,2,14,2,0.85,0.27,363,0,0.7,0,0
38.67,5.0,2,12,3,0.52,0.16,170,0,0.86,1,51.8
4.73,13.9,2,3,2,0.65,0.88,366,0,0.62,0,0
28.27,9.2,1,20,4,1.1,0.2,40,1,0.63,1,75.7
23.79,1.0,1,13,0,0.86,0.36,89,0,0.67,1,24.1
25.34,6.6,0,10,2,1.66,0.41,721,1,0.58,1,40.9
16.28,5.9,1,13,0,0.55,0.57,365,0,0.92,0,0
10.55,1.4,2,18,3,1.52,0.02,375,1,0.49,0,0
13.75,2.0,1,16,5,0.84,0.64,722,0,0.21,0,0
3.84,13.3,0,14,5,0.88,0.07,96,0,0.81,1,26.7
26.62,9.6,0,5,2,0.41,0.57,184,0,0.62,1,34.9
14.05,12.8,1,19,4,1.17,0.47,729,1,0.25,1,21.9
7.3,8.3,0,13,0,0.86,0.82,81,0,0.86,1,13.1
18.52,10.1,1,15,5,0.61,0.45,732,0,0.32,0,0
19.04,9.2,1,8,3,1.51,0.49,374,1,0.27,1,13.4
6.13,3.2,1,7,3,0.83,0.09,37,0,0.82,0,0
38.67,6.6,1,12,1,0.81,0.54,36,0,0.71,1,55.9
10.55,4.8,1,6,3,0.87,0.9,722,0,0.95,0,0
15.01,13.2,2,18,4,1.67,0.8,175,1,0.34,1,23.1
15.04,1.3,2,17,2,1.47,0.04,356,1,0.3,1,19.4
14.39,2.3,0,15,4,0.72,0.87,734,0,0.66,0,0
13.52,1.1,1,7,0,0.91,0.43,722,0,0.81,0,0
26.62,7.6,0,17,5,1.81,0.61,359,1,0.66,1,32.5
21.25,14.2,1,12,3,1.01,0.91,171,0,0.82,1,44.6
7.8,3.4,0,9,2,1.97,0.67,182,1,0.33,0,0
5.56,3.0,1,13,2,0.83,0.71,358,0,0.99,0,0
5.06,3.6,1,12,1,0.57,0.2,190,0,0.39,0,0
23.72,4.0,1,14,0,0.66,0.19,85,0,0.24,0,0
23.49,5.1,2,0,5,0.98,0.46,740,0,0.55,1,9.2
26.62,13.6,0,16,3,0.93,0.48,372,0,0.76,1,35.8
5.03,8.7,1,18,4,1.35,0.25,171,1,0.64,0,0
16.08,10.5,0,19,3,2.45,0.32,369,1,0.44,0,0
14.18,2.7,1,16,3,0.83,0.09,181,0,0.97,0,0
12.87,12.9,1,19,2,1.7,0.32,373,1,0.61,0,0
5.77,1.2,0,8,5,1.74,0.76,94,1,0.32,1,31.6
12.83,13.1,1,22,2,0.6,0.43,176,0,0.55,0,0
20.19,1.5,2,18,6,2.34,0.59,185,1,0.82,1,28.1
21.25,14.7,1,19,2,1.12,0.76,372,1,0.14,1,21.4
6.97,4.8,0,10,1,1.12,0.25,175,1,0.31,1,23.8
4.73,5.2,2,19,4,1.58,0.82,174,1,0.49,0,0
16.52,5.5,1,9,4,0.9,0.6,28,1,0.37,1,38.6
20.5,13.1,1,10,6,1.85,0.67,87,1,0.76,1,58.8
21.92,9.0,2,8,5,1.63,0.49,25,1,0.82,1,45.9
5.03,0.9,0,13,4,0.64,0.27,37,0,0.64,1,34.7
12.67,11.2,0,10,0,0.87,0.29,361,1,0.18,0,0
23.49,1.7,2,20,1,1.16,0.31,728,1,0.32,1,36.9
26.1,13.4,0,10,1,1.57,0.51,90,1,0.26,1,42.4
4.73,13.7,1,19,2,1.54,0.44,175,1,0.32,0,0
7.34,7.7,1,15,5,0.91,0.76,358,0,0.13,0,0
38.67,12.6,1,16,0,0.86,0.31,88,0,0.57,1,62.9
10.55,6.9,1,18,1,1.31,0.68,357,1,0.66,1,33.8
17.49,7.2,2,20,5,1.41,0.08,188,1,0.49,1,32.4
8.8,0.5,1,5,4,0.83,0.04,178,0,0.95,0,0
16.28,12.9,2,8,0,1.66,0.67,186,1,0.12,1,45.4
14.05,9.7,2,10,2,1.89,0.38,362,1,0.27,1,51.6
12.66,11.2,1,14,0,0.77,0.87,96,0,0.84,1,31.9
14.18,4.3,0,17,6,1.74,0.02,26,1,0.33,1,26.3
13.75,3.9,2,9,5,1.25,0.89,181,1,0.93,1,24.6
12.11,2.6,2,8,4,1.54,0.48,721,1,0.36,0,0
16.28,13.4,0,9,4,1.49,0.29,86,1,0.49,1,38.6
5.06,3.3,0,11,0,0.8,0.48,99,0,0.19,0,0
12.11,11.6,1,7,5,0.82,0.21,740,0,0.77,0,0
17.54,0.6,1,11,4,0.82,0.45,737,0,0.94,1,26.3
17.07,12.0,1,13,5,0.95,0.24,361,0,0.14,0,0
7.56,3.8,0,18,0,1.35,0.0,96,1,0.28,0,0
5.56,2.7,1,8,1,1.75,0.71,355,1,0.66,1,21.0
12.11,2.5,2,9,0,1.66,0.96,174,1,0.49,1,24.0
20.14,13.9,2,19,3,1.76,0.71,368,1,0.56,1,37.0
21.92,2.4,0,12,6,0.71,0.13,375,0,0.96,0,0
22.65,14.0,1,19,3,1.21,0.56,367,1,0.81,1,37.2
6.73,3.4,1,8,5,2.38,0.79,80,1,0.69,1,51.5
35.18,14.9,0,18,1,1.21,0.15,721,1,0.47,1,41.7
7.3,10.7,0,7,1,0.54,0.84,731,0,0.99,0,0
9.16,7.8,1,3,2,0.81,0.73,100,0,0.45,0,0
5.06,7.1,1,15,2,0.82,0.02,371,0,0.68,0,0
23.49,7.2,0,14,1,1.02,0.91,172,0,0.15,1,48.0
3.56,0.6,2,2,6,0.97,0.75,172,0,0.77,0,0
24.41,10.1,0,10,4,1.81,0.16,23,1,0.43,1,70.2
6.73,8.6,1,6,2,0.82,0.87,98,0,0.46,0,0
11.82,5.1,2,8,6,1.45,0.77,34,1,0.37,1,39.5
9.17,13.6,0,12,2,0.9,0.52,740,0,0.19,0,0
16.41,7.2,1,18,0,1.5,0.03,98,1,0.33,1,14.8
19.05,9.9,0,14,3,1.01,0.7,37,0,0.3,1,31.9
9.16,13.0,1,4,6,0.57,0.32,99,0,0.11,0,0
33.07,4.4,1,6,0,0.92,0.82,364,0,0.21,1,48.4
9.71,7.6,1,18,2,1.17,0.22,82,1,0.38,1,10.6
15.04,2.6,1,20,0,1.2,0.04,188,1,0.91,1,33.8
10.55,11.7,0,10,4,1.37,0.11,366,1,0.39,1,30.3
28.53,10.9,1,9,4,1.86,0.79,88,1,0.55,1,72.4
36.1,4.7,1,12,0,0.79,0.46,93,0,0.45,1,41.7
14.39,7.1,0,9,0,1.43,0.27,20,1,0.74,1,32.4
19.8,0.6,2,15,3,0.7,0.6,175,0,0.16,0,0
12.87,14.6,1,14,3,0.9,0.16,90,0,0.39,0,0
16.52,5.7,0,7,5,0.54,0.91,370,0,0.6,0,0
29.14,11.9,2,21,5,0.68,0.03,35,0,0.8,1,64.8
17.54,5.4,1,12,1,0.54,0.59,183,0,0.22,0,0
9.17,12.4,0,6,1,0.73,0.42,738,0,0.71,0,0
8.43,2.3,2,12,1,0.76,0.74,187,0,0.66,0,0
21.08,9.5,1,11,5,0.75,0.77,22,0,0.58,1,24.1
35.18,2.7,0,19,0,1.0,0.34,31,1,0.48,1,41.0
22.5,4.4,2,20,6,0.94,0.25,85,1,0.57,1,24.5
3.56,10.4,0,19,6,1.69,0.31,729,1,0.51,0,0
12.66,13.1,0,13,2,0.7,0.53,363,0,0.74,0,0
23.33,1.9,1,10,3,1.67,0.12,369,1,0.58,0,0
14.05,1.0,1,16,3,0.66,0.53,731,0,0.71,0,0
26.1,10.9,2,16,6,1.06,0.6,97,0,0.66,1,42.9
3.93,0.5,1,8,5,1.72,0.0,98,1,0.93,0,0
21.92,10.1,1,21,5,0.68,0.35,180,0,0.47,1,24.8
16.52,7.6,1,19,6,1.61,0.73,100,1,0.9,1,48.7
38.67,10.4,0,17,2,1.26,0.71,374,1,0.66,1,63.5
9.22,10.3,1,9,3,1.79,0.71,188,1,0.44,1,9.1
3.56,8.2,1,21,2,0.9,0.12,373,0,0.86,0,0
28.39,8.1,0,18,5,1.23,0.92,355,1,0.8,1,45.0
7.13,4.2,2,17,5,0.62,0.83,739,1,0.24,1,8.4
8.87,4.9,1,18,1,1.69,0.11,97,1,0.44,1,33.4
6.73,1.0,0,9,2,1.45,0.79,85,1,0.65,1,28.0
7.56,6.3,1,11,4,0.55,0.44,732,0,0.78,0,0
7.34,8.4,1,12,4,0.74,0.12,364,0,0.39,0,0
6.13,3.5,1,18,4,1.2,0.1,189,1,0.94,0,0
5.39,10.6,2,15,4,0.88,0.6,187,0,0.97,0,0
24.41,14.2,2,11,6,0.68,0.76,94,0,0.37,1,23.4
3.56,13.8,1,15,2,0.7,0.21,21,0,0.6,0,0
4.73,6.7,1,18,0,1.58,0.59,363,1,0.91,0,0
8.87,2.8,1,10,4,1.33,0.44,726,1,0.62,0,0
17.54,3.7,1,17,5,1.22,0.7,33,1,0.84,1,41.3
21.31,1.7,2,19,2,1.49,0.39,373,1,0.98,0,0
36.1,6.4,2,15,2,0.79,0.01,98,0,0.93,1,49.7
3.46,10.1,0,10,4,1.6,0.86,726,1,0.45,1,26.4
23.33,8.8,1,13,4,0.74,0.86,356,0,0.29,0,0
12.87,9.4,2,6,6,0.71,0.7,371,0,0.64,0,0
9.71,14.4,0,18,6,1.43,0.62,86,1,0.33,1,31.8
17.49,10.5,1,19,0,1.6,0.61,185,1,0.28,1,38.0
9.17,1.1,1,11,2,1.07,0.39,92,0,0.32,0,0
23.79,3.3,1,19,6,1.61,0.18,728,1,0.32,1,34.5
14.39,10.9,1,17,3,1.72,0.18,372,1,0.82,0,0
5.77,2.0,2,21,3,0.79,0.76,86,0,0.14,0,0
19.04,1.4,0,20,5,1.45,0.23,86,1,0.59,1,43.2
20.95,12.8,1,10,4,1.57,0.42,722,1,0.46,1,47.4
25.63,8.9,2,14,2,0.71,0.26,355,0,0.91,1,12.9
5.39,9.7,0,12,0,0.69,0.26,86,0,0.4,0,0
26.1,1.3,1,5,6,1.03,0.64,176,0,0.35,0,0
16.05,3.3,0,20,4,1.76,0.76,40,1,0.55,1,31.9
